Location,Theme,Word,Frequency,Sentiment,Month
Louvre,Foods,delicious,70,-0.8,2020-01
Louvre,Foods,delicious,68,-0.8,2020-01
Louvre,Foods,delicious,68,-0.8,2020-01
Louvre,Foods,delicious,63,0.92,2020-02
Louvre,Foods,delicious,65,0.92,2020-02
Louvre,Foods,delicious,64,0.92,2020-02
Louvre,Foods,delicious,58,0.93,2020-03
Louvre,Foods,delicious,55,0.93,2020-03
Louvre,Foods,delicious,64,0.93,2020-03
Louvre,Foods,delicious,61,-0.26,2020-04
Louvre,Foods,delicious,57,-0.26,2020-04
Louvre,Foods,delicious,60,-0.26,2020-04
Louvre,Foods,delicious,55,-0.02,2020-05
Louvre,Foods,delicious,64,-0.02,2020-05
Louvre,Foods,delicious,62,-0.02,2020-05
Louvre,Foods,delicious,63,-0.99,2020-06
Louvre,Foods,delicious,63,-0.99,2020-06
Louvre,Foods,delicious,67,-0.99,2020-06
Louvre,Foods,delicious,56,0.05,2020-07
Louvre,Foods,delicious,56,0.05,2020-07
Louvre,Foods,delicious,54,0.05,2020-07
Louvre,Foods,delicious,63,0.06,2020-08
Louvre,Foods,delicious,66,0.06,2020-08
Louvre,Foods,delicious,67,0.06,2020-08
Louvre,Foods,delicious,70,0.59,2020-09
Louvre,Foods,delicious,63,0.59,2020-09
Louvre,Foods,delicious,65,0.59,2020-09
Louvre,Foods,delicious,58,0.36,2020-10
Louvre,Foods,delicious,53,0.36,2020-10
Louvre,Foods,delicious,58,0.36,2020-10
Louvre,Foods,delicious,57,0.87,2020-11
Louvre,Foods,delicious,60,0.87,2020-11
Louvre,Foods,delicious,55,0.87,2020-11
Louvre,Foods,delicious,63,-0.59,2020-12
Louvre,Foods,delicious,62,-0.59,2020-12
Louvre,Foods,delicious,68,-0.59,2020-12
Louvre,Foods,cuisine,69,-0.74,2020-01
Louvre,Foods,cuisine,63,-0.74,2020-01
Louvre,Foods,cuisine,58,0.86,2020-02
Louvre,Foods,cuisine,63,0.86,2020-02
Louvre,Foods,cuisine,47,-0.89,2020-03
Louvre,Foods,cuisine,52,-0.89,2020-03
Louvre,Foods,cuisine,64,-0.08,2020-04
Louvre,Foods,cuisine,67,-0.08,2020-04
Louvre,Foods,cuisine,53,-0.47,2020-05
Louvre,Foods,cuisine,62,-0.47,2020-05
Louvre,Foods,cuisine,58,-0.21,2020-06
Louvre,Foods,cuisine,53,-0.21,2020-06
Louvre,Foods,cuisine,55,-0.58,2020-07
Louvre,Foods,cuisine,60,-0.58,2020-07
Louvre,Foods,cuisine,57,-0.07,2020-08
Louvre,Foods,cuisine,60,-0.07,2020-08
Louvre,Foods,cuisine,53,-0.84,2020-09
Louvre,Foods,cuisine,44,-0.84,2020-09
Louvre,Foods,cuisine,67,0.29,2020-10
Louvre,Foods,cuisine,63,0.29,2020-10
Louvre,Foods,cuisine,44,-0.77,2020-11
Louvre,Foods,cuisine,49,-0.77,2020-11
Louvre,Foods,cuisine,42,0.79,2020-12
Louvre,Foods,cuisine,47,0.79,2020-12
Louvre,Foods,restaurant,47,0.63,2020-01
Louvre,Foods,restaurant,48,0.63,2020-01
Louvre,Foods,restaurant,53,-0.24,2020-02
Louvre,Foods,restaurant,46,-0.24,2020-02
Louvre,Foods,restaurant,54,0.1,2020-03
Louvre,Foods,restaurant,55,0.1,2020-03
Louvre,Foods,restaurant,48,-0.46,2020-04
Louvre,Foods,restaurant,51,-0.46,2020-04
Louvre,Foods,restaurant,55,-0.17,2020-05
Louvre,Foods,restaurant,61,-0.17,2020-05
Louvre,Foods,restaurant,60,0.89,2020-06
Louvre,Foods,restaurant,62,0.89,2020-06
Louvre,Foods,restaurant,50,0.81,2020-07
Louvre,Foods,restaurant,40,0.81,2020-07
Louvre,Foods,restaurant,54,0.83,2020-08
Louvre,Foods,restaurant,60,0.83,2020-08
Louvre,Foods,restaurant,53,-0.74,2020-09
Louvre,Foods,restaurant,51,-0.74,2020-09
Louvre,Foods,restaurant,54,0.53,2020-10
Louvre,Foods,restaurant,59,0.53,2020-10
Louvre,Foods,restaurant,49,-0.37,2020-11
Louvre,Foods,restaurant,53,-0.37,2020-11
Louvre,Foods,restaurant,52,-0.72,2020-12
Louvre,Foods,restaurant,49,-0.72,2020-12
Louvre,Foods,cafe,45,-0.81,2020-01
Louvre,Foods,cafe,38,-0.81,2020-01
Louvre,Foods,cafe,47,0.07,2020-02
Louvre,Foods,cafe,47,0.07,2020-02
Louvre,Foods,cafe,58,-0.04,2020-03
Louvre,Foods,cafe,50,-0.04,2020-03
Louvre,Foods,cafe,39,0.51,2020-04
Louvre,Foods,cafe,41,0.51,2020-04
Louvre,Foods,cafe,37,-0.4,2020-05
Louvre,Foods,cafe,38,-0.4,2020-05
Louvre,Foods,cafe,36,0.11,2020-06
Louvre,Foods,cafe,44,0.11,2020-06
Louvre,Foods,cafe,51,0.89,2020-07
Louvre,Foods,cafe,57,0.89,2020-07
Louvre,Foods,cafe,52,-0.75,2020-08
Louvre,Foods,cafe,56,-0.75,2020-08
Louvre,Foods,cafe,53,0.8,2020-09
Louvre,Foods,cafe,54,0.8,2020-09
Louvre,Foods,cafe,58,0.44,2020-10
Louvre,Foods,cafe,56,0.44,2020-10
Louvre,Foods,cafe,52,0.88,2020-11
Louvre,Foods,cafe,53,0.88,2020-11
Louvre,Foods,cafe,47,0.73,2020-12
Louvre,Foods,cafe,47,0.73,2020-12
Louvre,Foods,taste,35,0.88,2020-01
Louvre,Foods,taste,44,0.88,2020-01
Louvre,Foods,taste,59,-0.44,2020-02
Louvre,Foods,taste,55,-0.44,2020-02
