Category,Word,Frequency,Sentiment,Month
Museums,art,66,-0.52,2020-01
Museums,art,67,-0.52,2020-01
Museums,art,76,-0.52,2020-01
Museums,art,69,-0.52,2020-01
Museums,art,79,-0.99,2020-02
Museums,art,81,-0.99,2020-02
Museums,art,80,-0.99,2020-02
Museums,art,75,-0.99,2020-02
Museums,art,77,-0.61,2020-03
Museums,art,77,-0.61,2020-03
Museums,art,85,-0.61,2020-03
Museums,art,82,-0.61,2020-03
Museums,art,74,-0.64,2020-04
Museums,art,69,-0.64,2020-04
Museums,art,69,-0.64,2020-04
Museums,art,69,-0.64,2020-04
Museums,art,72,0.97,2020-05
Museums,art,71,0.97,2020-05
Museums,art,75,0.97,2020-05
Museums,art,76,0.97,2020-05
Museums,art,74,-0.88,2020-06
Museums,art,76,-0.88,2020-06
Museums,art,75,-0.88,2020-06
Museums,art,79,-0.88,2020-06
Museums,art,72,0.88,2020-07
Museums,art,77,0.88,2020-07
Museums,art,75,0.88,2020-07
Museums,art,74,0.88,2020-07
Museums,art,74,0.23,2020-08
Museums,art,73,0.23,2020-08
Museums,art,82,0.23,2020-08
Museums,art,80,0.23,2020-08
Museums,art,90,-0.9,2020-09
Museums,art,86,-0.9,2020-09
Museums,art,89,-0.9,2020-09
Museums,art,93,-0.9,2020-09
Museums,art,86,-0.74,2020-10
Museums,art,84,-0.74,2020-10
Museums,art,89,-0.74,2020-10
Museums,art,85,-0.74,2020-10
Museums,art,84,-0.18,2020-11
Museums,art,85,-0.18,2020-11
Museums,art,84,-0.18,2020-11
Museums,art,86,-0.18,2020-11
Museums,art,76,-0.17,2020-12
Museums,art,71,-0.17,2020-12
Museums,art,74,-0.17,2020-12
Museums,art,74,-0.17,2020-12
Museums,history,81,0.49,2020-01
Museums,history,78,0.49,2020-01
Museums,history,76,0.49,2020-01
Museums,history,70,-0.22,2020-02
Museums,history,69,-0.22,2020-02
Museums,history,75,-0.22,2020-02
Museums,history,85,0.46,2020-03
Museums,history,84,0.46,2020-03
Museums,history,77,0.46,2020-03
Museums,history,77,0.56,2020-04
Museums,history,80,0.56,2020-04
Museums,history,79,0.56,2020-04
Museums,history,68,0.64,2020-05
Museums,history,64,0.64,2020-05
Museums,history,69,0.64,2020-05
Museums,history,67,-0.39,2020-06
Museums,history,67,-0.39,2020-06
Museums,history,67,-0.39,2020-06
Museums,history,78,0.1,2020-07
Museums,history,78,0.1,2020-07
Museums,history,79,0.1,2020-07
Museums,history,82,0.8,2020-08
Museums,history,86,0.8,2020-08
Museums,history,79,0.8,2020-08
Museums,history,81,0.83,2020-09
Museums,history,84,0.83,2020-09
Museums,history,84,0.83,2020-09
Museums,history,79,-0.16,2020-10
Museums,history,73,-0.16,2020-10
Museums,history,76,-0.16,2020-10
Museums,history,84,-0.34,2020-11
Museums,history,76,-0.34,2020-11
Museums,history,79,-0.34,2020-11
Museums,history,74,0.67,2020-12
Museums,history,79,0.67,2020-12
Museums,history,73,0.67,2020-12
Museums,exhibition,72,0.48,2020-01
Museums,exhibition,72,0.48,2020-01
Museums,exhibition,62,0.48,2020-01
Museums,exhibition,75,-0.66,2020-02
Museums,exhibition,83,-0.66,2020-02
Museums,exhibition,80,-0.66,2020-02
Museums,exhibition,66,-0.86,2020-03
Museums,exhibition,70,-0.86,2020-03
Museums,exhibition,74,-0.86,2020-03
Museums,exhibition,70,-0.47,2020-04
Museums,exhibition,80,-0.47,2020-04
Museums,exhibition,80,-0.47,2020-04
Museums,exhibition,64,-0.69,2020-05
Museums,exhibition,66,-0.69,2020-05
Museums,exhibition,64,-0.69,2020-05
Museums,exhibition,81,-0.79,2020-06
Museums,exhibition,78,-0.79,2020-06
Museums,exhibition,75,-0.79,2020-06
Museums,exhibition,67,-0.99,2020-07
Museums,exhibition,68,-0.99,2020-07
Museums,exhibition,65,-0.99,2020-07
Museums,exhibition,73,0.12,2020-08
Museums,exhibition,81,0.12,2020-08
Museums,exhibition,82,0.12,2020-08
Museums,exhibition,65,-0.38,2020-09
Museums,exhibition,60,-0.38,2020-09
Museums,exhibition,61,-0.38,2020-09
Museums,exhibition,83,-0.94,2020-10
Museums,exhibition,78,-0.94,2020-10
Museums,exhibition,78,-0.94,2020-10
Museums,exhibition,70,0.48,2020-11
Museums,exhibition,74,0.48,2020-11
Museums,exhibition,74,0.48,2020-11
Museums,exhibition,67,-0.9,2020-12
Museums,exhibition,65,-0.9,2020-12
Museums,exhibition,60,-0.9,2020-12
Museums,gallery,59,-0.93,2020-01
Museums,gallery,60,-0.93,2020-01
Museums,gallery,59,-0.93,2020-01
Museums,gallery,64,0.97,2020-02
Museums,gallery,67,0.97,2020-02
Museums,gallery,70,0.97,2020-02
Museums,gallery,63,-0.83,2020-03
Museums,gallery,61,-0.83,2020-03
Museums,gallery,62,-0.83,2020-03
Museums,gallery,61,0.2,2020-04
Museums,gallery,64,0.2,2020-04
Museums,gallery,64,0.2,2020-04
Museums,gallery,65,-0.36,2020-05
Museums,gallery,73,-0.36,2020-05
Museums,gallery,68,-0.36,2020-05
Museums,gallery,62,-0.64,2020-06
Museums,gallery,62,-0.64,2020-06
Museums,gallery,62,-0.64,2020-06
Museums,gallery,71,-0.25,2020-07
Museums,gallery,76,-0.25,2020-07
Museums,gallery,77,-0.25,2020-07
Museums,gallery,71,0.04,2020-08
Museums,gallery,71,0.04,2020-08
Museums,gallery,80,0.04,2020-08
Museums,gallery,61,0.46,2020-09
Museums,gallery,65,0.46,2020-09
Museums,gallery,63,0.46,2020-09
Museums,gallery,73,-0.43,2020-10
Museums,gallery,70,-0.43,2020-10
Museums,gallery,73,-0.43,2020-10
Museums,gallery,65,-0.64,2020-11
Museums,gallery,61,-0.64,2020-11
Museums,gallery,57,-0.64,2020-11
Museums,gallery,59,-0.34,2020-12
Museums,gallery,67,-0.34,2020-12
Museums,gallery,62,-0.34,2020-12
Museums,masterpiece,58,-0.06,2020-01
Museums,masterpiece,58,-0.06,2020-01
Museums,masterpiece,57,-0.06,2020-01
Museums,masterpiece,46,-0.12,2020-02
Museums,masterpiece,56,-0.12,2020-02
Museums,masterpiece,47,-0.12,2020-02
Museums,masterpiece,60,0.35,2020-03
Museums,masterpiece,61,0.35,2020-03
Museums,masterpiece,62,0.35,2020-03
Museums,masterpiece,47,0.31,2020-04
Museums,masterpiece,54,0.31,2020-04
Museums,masterpiece,55,0.31,2020-04
Museums,masterpiece,62,0.59,2020-05
Museums,masterpiece,70,0.59,2020-05
Museums,masterpiece,69,0.59,2020-05
Museums,masterpiece,66,0.54,2020-06
Museums,masterpiece,69,0.54,2020-06
Museums,masterpiece,73,0.54,2020-06
Museums,masterpiece,54,-0.48,2020-07
Museums,masterpiece,63,-0.48,2020-07
Museums,masterpiece,56,-0.48,2020-07
Museums,masterpiece,69,0.92,2020-08
Museums,masterpiece,69,0.92,2020-08
Museums,masterpiece,68,0.92,2020-08
Museums,masterpiece,73,-0.55,2020-09
Museums,masterpiece,73,-0.55,2020-09
Museums,masterpiece,75,-0.55,2020-09
Museums,masterpiece,52,-0.41,2020-10
Museums,masterpiece,60,-0.41,2020-10
Museums,masterpiece,52,-0.41,2020-10
Museums,masterpiece,50,-0.35,2020-11
Museums,masterpiece,50,-0.35,2020-11
