Destination,Category,Year,Cognitive Theme,Positive Sentiment,Negative Sentiment,Positive Count,Negative Count,Total Count,Non-Emotional Count
Bhaktapur,Ancient towns,2010,Atmospheres,0.8160000000000001,0.14800000000000002,141.0,28.0,169.0,16
Bhaktapur,Ancient towns,2010,Attractions,0.8568000000000001,0.15540000000000004,148.0,29.0,177.0,17
Bhaktapur,Ancient towns,2010,Foods,0.8160000000000001,0.14800000000000002,141.0,28.0,169.0,14
Bhaktapur,Ancient towns,2010,Scenery,0.8160000000000001,0.14800000000000002,141.0,28.0,169.0,7
Bhaktapur,Ancient towns,2010,Services,0.9384,0.17020000000000002,162.0,32.0,194.0,5
Bhaktapur,Ancient towns,2011,Atmospheres,1.077306122468523,0.20933641560963714,200.0,40.0,240.0,23
Bhaktapur,Ancient towns,2011,Attractions,1.0477668244562803,0.2035964957887615,194.0,39.0,233.0,23
Bhaktapur,Ancient towns,2011,Foods,1.0479425538604203,0.20363064259514518,194.0,39.0,233.0,19
Bhaktapur,Ancient towns,2011,Scenery,1.031153467384692,0.2003682762993555,191.0,38.0,229.0,10
Bhaktapur,Ancient towns,2011,Services,1.1238003422364518,0.21837092595891747,208.0,41.0,249.0,7
Bhaktapur,Ancient towns,2012,Atmospheres,1.1182539675986152,0.2381507207126141,227.0,45.0,272.0,26
Bhaktapur,Ancient towns,2012,Attractions,1.0412667807454838,0.22175502298566366,212.0,42.0,254.0,25
Bhaktapur,Ancient towns,2012,Foods,1.0841470984807897,0.2308870975134014,220.0,44.0,264.0,22
Bhaktapur,Ancient towns,2012,Scenery,1.0573884872719619,0.2251884076546605,215.0,43.0,258.0,12
Bhaktapur,Ancient towns,2012,Services,1.0543536631715011,0.2245420915514297,214.0,43.0,257.0,7
Bhaktapur,Ancient towns,2013,Atmospheres,1.103585123997865,0.21617873766167678,206.0,41.0,247.0,24
Bhaktapur,Ancient towns,2013,Attractions,1.0310804984135333,0.20197597423852318,193.0,38.0,231.0,22
Bhaktapur,Ancient towns,2013,Foods,1.0997494986604055,0.2154273858850315,206.0,41.0,247.0,21
Bhaktapur,Ancient towns,2013,Scenery,1.074563126877378,0.2104936857653631,201.0,40.0,241.0,11
Bhaktapur,Ancient towns,2013,Services,0.9659196857960369,0.1892117733532939,181.0,36.0,217.0,6
Bhaktapur,Ancient towns,2014,Atmospheres,1.0401985780187086,0.2038111299800107,194.0,39.0,233.0,22
Bhaktapur,Ancient towns,2014,Attractions,1.0181178877238337,0.19948475371413563,190.0,38.0,228.0,22
Bhaktapur,Ancient towns,2014,Foods,1.0909297426825681,0.21375113202754015,204.0,41.0,245.0,20
Bhaktapur,Ancient towns,2014,Scenery,1.0799658882433203,0.21160293108839284,202.0,40.0,242.0,11
Bhaktapur,Ancient towns,2014,Services,0.8893909426688131,0.17426266181269234,166.0,33.0,199.0,6
Bhaktapur,Ancient towns,2015,Atmospheres,0.9579060126772456,0.1811694569816128,173.0,34.0,207.0,20
Bhaktapur,Ancient towns,2015,Attractions,1.0035368600833852,0.18979965215397213,181.0,36.0,217.0,21
Bhaktapur,Ancient towns,2015,Foods,1.0598472144103956,0.20044967019421178,191.0,38.0,229.0,19
Bhaktapur,Ancient towns,2015,Scenery,1.0727437941460545,0.20288880964704725,194.0,38.0,232.0,10
Bhaktapur,Ancient towns,2015,Services,0.8515011255099332,0.16104502371449744,154.0,30.0,184.0,5
Bhaktapur,Ancient towns,2016,Atmospheres,0.8942996896252214,0.16220141429477053,155.0,31.0,186.0,18
Bhaktapur,Ancient towns,2016,Attractions,0.9874129790787184,0.17908960895055184,171.0,34.0,205.0,20
Bhaktapur,Ancient towns,2016,Foods,1.0128534733737027,0.18370381624915194,175.0,35.0,210.0,17
Bhaktapur,Ancient towns,2016,Scenery,1.052728979451776,0.19093613842997897,182.0,36.0,218.0,10
Bhaktapur,Ancient towns,2016,Services,0.8644121568059807,0.15678063628343766,150.0,30.0,180.0,5
Bhaktapur,Ancient towns,2017,Atmospheres,0.8700818071966,0.1578089552268343,150.0,30.0,180.0,17
Bhaktapur,Ancient towns,2017,Attractions,0.9614708868092359,0.17438442554873396,166.0,33.0,199.0,19
Bhaktapur,Ancient towns,2017,Foods,0.9517689428732147,0.17262475924661247,165.0,33.0,198.0,16
Bhaktapur,Ancient towns,2017,Scenery,1.0128028744069077,0.1836946389855666,175.0,35.0,210.0,9
Bhaktapur,Ancient towns,2017,Services,0.9138323971067197,0.16574411123994426,158.0,31.0,189.0,5
Bhaktapur,Ancient towns,2018,Atmospheres,0.9242480034553214,0.17365992835467972,166.0,33.0,199.0,19
Bhaktapur,Ancient towns,2018,Attractions,0.9631303142229377,0.18096565071158502,173.0,34.0,207.0,20
Bhaktapur,Ancient towns,2018,Foods,0.9243197504692071,0.17367340913174872,166.0,33.0,199.0,16
Bhaktapur,Ancient towns,2018,Scenery,0.9953300685257936,0.18701576605331924,178.0,35.0,213.0,10
Bhaktapur,Ancient towns,2018,Services,1.013124847515917,0.1903592842789029,182.0,36.0,218.0,6
Bhaktapur,Ancient towns,2019,Atmospheres,1.0020176680581219,0.2102847877015912,201.0,40.0,241.0,23
Bhaktapur,Ancient towns,2019,Attractions,0.954796392899147,0.20037486681062797,191.0,38.0,229.0,22
Bhaktapur,Ancient towns,2019,Foods,0.9022469882334903,0.18934677743035003,181.0,36.0,217.0,18
Bhaktapur,Ancient towns,2019,Scenery,0.9645983645364118,0.2024319218811177,193.0,38.0,231.0,10
Bhaktapur,Ancient towns,2019,Services,1.095203931391395,0.2298409833919503,219.0,44.0,263.0,8
Bhaktapur,Ancient towns,2020,Atmospheres,1.0788383918462547,0.260746714127463,249.0,50.0,299.0,29
Bhaktapur,Ancient towns,2020,Attractions,0.9505003751699778,0.22972842964770218,219.0,44.0,263.0,25
Bhaktapur,Ancient towns,2020,Foods,0.9041075725336861,0.21851565585507202,209.0,41.0,250.0,21
Bhaktapur,Ancient towns,2020,Scenery,0.9394558003753657,0.2270590431961302,217.0,43.0,260.0,12
Bhaktapur,Ancient towns,2020,Services,1.144025542997555,0.27650193343973056,264.0,53.0,317.0,9
Giza,Ancient towns,2010,Atmospheres,0.746,0.156,154.0,25.0,179.0,26
Giza,Ancient towns,2010,Attractions,0.7833,0.1638,162.0,26.0,188.0,13
Giza,Ancient towns,2010,Foods,0.746,0.156,154.0,25.0,179.0,14
Giza,Ancient towns,2010,Scenery,0.746,0.156,154.0,25.0,179.0,15
Giza,Ancient towns,2010,Services,0.8578999999999999,0.17939999999999998,177.0,28.0,205.0,15
Giza,Ancient towns,2011,Atmospheres,0.9168022015299745,0.1917173504539893,189.0,30.0,219.0,32
Giza,Ancient towns,2011,Attractions,0.8916638560918,0.1864605382712075,184.0,29.0,213.0,15
Giza,Ancient towns,2011,Foods,0.891813404211159,0.18649181106828527,184.0,29.0,213.0,16
Giza,Ancient towns,2011,Scenery,0.8775256626662069,0.1835040259730942,181.0,29.0,210.0,18
Giza,Ancient towns,2011,Services,0.9563694165978541,0.19999145977113306,198.0,32.0,230.0,17
Giza,Ancient towns,2012,Atmospheres,1.0399771905519883,0.21747512295725227,215.0,34.0,249.0,37
Giza,Ancient towns,2012,Attractions,0.9683790378855102,0.20250285510742574,200.0,32.0,232.0,17
Giza,Ancient towns,2012,Foods,1.0082577717513994,0.21084210776570822,208.0,33.0,241.0,18
Giza,Ancient towns,2012,Scenery,0.9833722393818703,0.2056381626589434,203.0,32.0,235.0,20
Giza,Ancient towns,2012,Services,0.9805498502526869,0.2050479579616879,203.0,32.0,235.0,17
Giza,Ancient towns,2013,Atmospheres,1.0591821884486627,0.22149118149864794,219.0,35.0,254.0,38
Giza,Ancient towns,2013,Attractions,0.9895947988317546,0.20693939492996474,205.0,33.0,238.0,17
Giza,Ancient towns,2013,Foods,1.0555008901503655,0.22072136576870913,218.0,35.0,253.0,19
Giza,Ancient towns,2013,Scenery,1.0313278963285675,0.21566642336093367,213.0,34.0,247.0,21
Giza,Ancient towns,2013,Services,0.9270557426153475,0.19386152258444264,192.0,31.0,223.0,16
Giza,Ancient towns,2014,Atmospheres,1.0186817016147203,0.21302191079342675,211.0,34.0,245.0,36
Giza,Ancient towns,2014,Attractions,0.9970577582276275,0.20850001378486582,206.0,33.0,239.0,17
Giza,Ancient towns,2014,Foods,1.0683634741500287,0.22341112864263338,221.0,35.0,256.0,20
Giza,Ancient towns,2014,Scenery,1.0576264109272524,0.22116584464430478,219.0,35.0,254.0,21
Giza,Ancient towns,2014,Services,0.8709935756730975,0.18213806676273891,180.0,29.0,209.0,15
Giza,Ancient towns,2015,Atmospheres,0.764221180118425,0.15981032720975105,158.0,25.0,183.0,27
Giza,Ancient towns,2015,Attractions,0.8006256494431973,0.16742305806050772,165.0,26.0,191.0,14
Giza,Ancient towns,2015,Foods,0.8455502713446721,0.1768174830157759,175.0,28.0,203.0,15
Giza,Ancient towns,2015,Scenery,0.8558392133229467,0.17896905801391377,177.0,28.0,205.0,17
Giza,Ancient towns,2015,Services,0.6793309431168851,0.14205848140245855,140.0,22.0,162.0,12
Giza,Ancient towns,2016,Atmospheres,0.7219097132302393,0.15096235290069349,149.0,24.0,173.0,25
Giza,Ancient towns,2016,Attractions,0.7970739885476872,0.16668035149254584,165.0,26.0,191.0,14
Giza,Ancient towns,2016,Foods,0.8176104375188641,0.1709748368001914,169.0,27.0,196.0,15
Giza,Ancient towns,2016,Scenery,0.8497993284372947,0.17770602578581496,176.0,28.0,204.0,17
Giza,Ancient towns,2016,Services,0.6977834605914406,0.1459171847885586,144.0,23.0,167.0,12
Giza,Ancient towns,2017,Atmospheres,0.6805056131555651,0.1423041228582683,141.0,22.0,163.0,24
Giza,Ancient towns,2017,Attractions,0.7519825491667868,0.15725104245310823,155.0,25.0,180.0,13
Giza,Ancient towns,2017,Foods,0.7443944956615016,0.15566426450830328,154.0,24.0,178.0,14
Giza,Ancient towns,2017,Scenery,0.7921301598922625,0.16564652137157232,164.0,26.0,190.0,16
Giza,Ancient towns,2017,Services,0.7147236852568892,0.14945964463816985,148.0,23.0,171.0,13
